CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/08/2013,5:53,,,,,,,,2800 CONEY ISLAND AVENUE PARKING LOT    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,114387,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2013,6:15,,,,,,,,109 PCT LOT 37-05 UNION ST              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,253859,OTHER,UNKNOWN,,,
02/06/2021,17:19,BROOKLYN,11230,,,,18 AVENUE                       ,OCEAN PARKWAY,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4389690,Sedan,,,,
02/06/2021,18:34,BRONX,10453,40.850018,-73.9107,"(40.850018, -73.9107)",WEST 177 STREET                 ,JEROME AVENUE,,1,0,1,0,0,0,0,0,,,,,,4389761,,,,,
01/08/2013,8:10,,,,,,DRUMGOOLE ROAD EAST             ,WAINWRIGHT AVENUE               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,302119,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/06/2021,8:14,,,,,,102 CROSS DRIVE                 ,WEST DRIVE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4392306,Taxi,,,,
12/30/2013,12:55,,,,,,,,1532 86 ST(PARKING LOT)                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,125216,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/07/2013,10:15,,,40.585343,-73.9415539,"(40.585343, -73.9415539)",,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,2943882,SPORT UTILITY / STATION WAGON,VAN,,,
06/27/2014,13:30,,,,,,TOMPKINS AVENUE                 ,HYLAN BOULEVARD                 ,,0,0,0,0,0,0,0,0,Unspecified,,,,,359469,UNKNOWN,,,,
01/07/2013,11:50,,,40.7377134,-73.9358997,"(40.7377134, -73.9358997)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3045096,PASSENGER VEHICLE,VAN,,,
06/27/2014,14:20,,,,,,COOPER SQUARE                   ,EAST 6 STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,358976,VAN,OTHER,,,
12/30/2013,14:45,,,,,,BRUCKNER BOULEVARD              ,WHITE PLAINS ROAD               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,84672,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/27/2014,15:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3046633,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2021,15:57,,,,,,MACOMBS DAM BRIDGE              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4389691,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/20/2020,20:40,,,,,,VANWYCK EXPRESSWAY              ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4359701,Sedan,Sedan,,,
12/30/2013,17:30,,,,,,,,PL OF 2800 VICTORY BLVD                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,292487,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2021,22:15,,,,,,ASTORIA BOULEVARD               ,49 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4391151,Taxi,,,,
01/07/2013,17:00,,,,,,CROSS BAY BOULEVARD             ,149 AVENUE                      ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,229529,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/30/2013,20:25,,,,,,,,POLE 130 ST 100FT N/O 18 AVE            ,1,0,0,0,0,0,1,0,Unspecified,,,,,253846,PASSENGER VEHICLE,,,,
06/27/2014,19:00,,,,,,,,PARKING LOT 134-15 ROCKAWAY BOULEVARD   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,359934,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/27/2014,19:20,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2865422,PASSENGER VEHICLE,OTHER,,,
01/07/2013,18:35,,,,,,PENNSYLVANIA AVENUE             ,DELMAR LOOP                     ,,1,0,0,0,0,0,1,0,Unspecified,,,,,165585,SPORT UTILITY / STATION WAGON,,,,
01/07/2013,19:05,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2829585,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/27/2014,20:20,,,40.6981572,-73.8696833,"(40.6981572, -73.8696833)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3004173,PASSENGER VEHICLE,UNKNOWN,,,
01/07/2013,21:25,,,40.6519753,-73.8654089,"(40.6519753, -73.8654089)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2968213,SPORT UTILITY / STATION WAGON,,,,
02/04/2021,14:00,,,40.630432,-74.13782,"(40.630432, -74.13782)",,,44        RAINBOW AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4389329,Sedan,,,,
12/30/2013,9:08,,,,,,,,KEARNEY AVENUE                          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,91683,PASSENGER VEHICLE,UNKNOWN,,,
06/27/2014,2:30,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,2897964,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/04/2021,16:40,,,,,,MAJOR DEEGAN EXPRESSWAY RAMP    ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4389324,Box Truck,Sedan,,,
12/29/2013,12:30,QUEENS,11101,40.7529763,-73.9102326,"(40.7529763, -73.9102326)",NORTHERN BOULEVARD              ,51 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,278597,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/07/2013,9:00,,,,,,,,PARKING LOT 96-10 57 AVE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,256373,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/29/2013,13:30,,,,,,,,125-10 QUEENS BOULEVARD PARKING GARAGE  ,0,0,0,0,0,0,0,0,Illness,Unspecified,,,,208107,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/27/2014,9:35,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,358584,PASSENGER VEHICLE,VAN,,,
01/07/2013,9:30,,,,,,,,MUNI LOT 38 AVE & UNION ST              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,248435,PICK-UP TRUCK,UNKNOWN,,,
02/04/2021,7:54,,,,,,VANWYCK EXPRESSWAY              ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4389127,Station Wagon/Sport Utility Vehicle,Sedan,,,
